"typologie";"voie";"arrdt";"cycling_length"
"Bandes cyclables";"AVENUE DU PROFESSEUR ANDRE LEMIERE";"20";"62.57204542"
"Pistes cyclables";"BOULEVARD DAVOUT";"20";"27.83044713"
"Pistes cyclables";"AVENUE DAUMESNIL";"12";"16.55930889"
"Pistes cyclables";"ROUTE DES PETITS PONTS";"19";"360.12466346"
"Pistes cyclables";"AVENUE BENOIT FRACHON";"20";"232.74785448"
"Bandes cyclables";"BOULEVARD DE CHARONNE";"20";"8.6622667"
"Pistes cyclables";"Route des Lacs à Passy";"16";"8.80698689"
"Pistes cyclables";"RUE DE LAGNY";"20";"96.4216714"
"Pistes cyclables";"RUE DE LAGNY";"20";"46.29040374"
"Bandes cyclables";"RUE DU TELEGRAPHE";"20";"24.8885774"
"Couloirs de bus ouverts aux vélos";"RUE DE MENILMONTANT";"20";"358.75032804"
"Couloirs de bus ouverts aux vélos";"AVENUE JEAN JAURES";"19";"48.92966897"
"Pistes cyclables";"AVENUE JEAN JAURES";"19";"9.91828073"
"Pistes cyclables";"BOULEVARD DE PICPUS";"12";"18.1546532"
"Pistes cyclables";"RUE LOUIS PASTEUR VALLERY RADOT";"18";"47.53033804"
"Pistes cyclables";"RUE LOUIS PASTEUR VALLERY RADOT";"18";"11.50605261"
"Pistes cyclables";"AVENUE DE LA PORTE DE CHARENTON";"12";"16.28410592"
"Pistes cyclables";"AVENUE DE LA PORTE DE CHARENTON";"12";"142.35161644"
"Couloirs de bus ouverts aux vélos";"RUE PROUDHON";"12";"69.46035088"
"Couloirs de bus ouverts aux vélos";"RUE DE CHARENTON";"12";"174.71064368"
"Bandes cyclables";"RUE DE WATTIGNIES";"12";"103.32000114"
"Couloirs de bus ouverts aux vélos";"BOULEVARD DIDEROT";"12";"26.8583232"
"Pistes cyclables";"BOULEVARD DIDEROT";"12";"9.4610652"
"Pistes cyclables";"BOULEVARD DE CHARONNE";"20";"21.98884386"
"Pistes cyclables";"PORTE DE LA CHAPELLE";"18";"197.1556739"
"Pistes cyclables";"PORTE DE LA CHAPELLE";"18";"21.23471228"
"Pistes cyclables";"AVENUE DES CANADIENS";"12";"10.02343622"
"Bandes cyclables";"Rue Lagrange";"5";"99.45484453"
"Pistes cyclables";"RUE CHARLES HERMITE";"18";"231.07040457"
"Pistes cyclables";"RUE DES FOUGERES";"20";"6.55649511"
"Bandes cyclables";"BOULEVARD DE BERCY";"12";"19.15899121"
"Bandes cyclables";"BOULEVARD DE BERCY";"12";"69.48999964"
"Couloirs de bus ouverts aux vélos";"AVENUE DE VILLIERS";"17";"46.60225406"
"Couloirs de bus ouverts aux vélos";"AVENUE DE LA PORTE DE CHAMPERRET";"17";"30.33121625"
"Pistes cyclables";"BOULEVARD DAVOUT";"20";"131.51463995"
"Pistes cyclables";"RUE EDOUARD PAILLERON";"19";"22.97940023"
"Couloirs de bus ouverts aux vélos";"AVENUE DE FLANDRE";"19";"52.39515725"
"Couloirs de bus ouverts aux vélos";"RUE CARDINET";"17";"151.6648164"
"Couloirs de bus ouverts aux vélos";"RUE DE COURCELLES";"17";"29.95129503"
"Couloirs de bus ouverts aux vélos";"RUE DE COURCELLES";"17";"108.93450141"
"Pistes cyclables";"BOULEVARD DIDEROT";"12";"9.7385247"
"Couloirs de bus ouverts aux vélos";"Rue Labrouste";"15";"86.0912114"
"Pistes cyclables";"Quai de Montebello";"5";"74.75127547"
"Pistes cyclables";"BOULEVARD DE COURCELLES";"8";"186.1813305"
"Pistes cyclables";"RUE DE LA PROVIDENCE";"13";"6.09465123"
"Couloirs de bus ouverts aux vélos";"RUE DU FAUBOURG SAINT-MARTIN";"10";"15.62619471"
"Couloirs de bus ouverts aux vélos";"BOULEVARD SAINT-MARTIN";"3";"17.54285723"
"Couloirs de bus ouverts aux vélos";"RUE DU FAUBOURG SAINT-DENIS";"10";"109.46802236"
"Bandes cyclables";"RUE DU FAUBOURG SAINT-MARTIN";"10";"23.18192914"
"Pistes cyclables";"BOULEVARD DE MENILMONTANT";"11";"10.84701651"
"Couloirs de bus ouverts aux vélos";"RUE DU GENERAL GUILLAUMAT";"15";"24.1382515"
"Couloirs de bus ouverts aux vélos";"RUE GASTON BOISSIER";"15";"60.95384436"
"Couloirs de bus ouverts aux vélos";"RUE MONTMARTRE";"2";"75.75565067"
"Pistes cyclables";"QUAI D IVRY";"13";"6.35491644"
"Pistes cyclables";"AVENUE CLAUDE REGAUD";"13";"5.99516458"
"Pistes cyclables";"AVENUE CLAUDE REGAUD";"13";"5.04934538"
"Bandes cyclables";"BOULEVARD MONTMARTRE";"2";"73.67290107"
"Pistes cyclables";"AVENUE CLAUDE REGAUD";"13";"5.00070295"
"Pistes cyclables";"AVENUE DAUMESNIL";"12";"106.74010009"
"Pistes cyclables";"Rue du Commandant L'Herminier";"20";"249.66014157"
"Pistes cyclables";"BOULEVARD RICHARD LENOIR";"11";"45.19694623"
"Bandes cyclables";"BOULEVARD RICHARD LENOIR";"11";"42.10499185"
"Pistes cyclables";"BOULEVARD RICHARD LENOIR";"11";"413.26861978"
"Couloirs de bus ouverts aux vélos";"Rue de la Chaussée d'Antin";"9";"13.98241524"
"Couloirs de bus ouverts aux vélos";"Rue de la Chaussée d'Antin";"9";"23.30051387"
"Couloirs de bus ouverts aux vélos";"RUE LE PELETIER";"9";"16.97397828"
"Couloirs de bus ouverts aux vélos";"BOULEVARD DES CAPUCINES";"9";"46.66477618"
"Couloirs de bus ouverts aux vélos";"AVENUE DES CHAMPS ELYSEES";"8";"398.32308392"
"Pistes cyclables";"ROUTE DES LACS A PASSY";"16";"129.38227874"
"Bandes cyclables";"RUE DE PROVENCE";"9";"55.57239758"
"Bandes cyclables";"RUE DE CRIMEE";"19";"26.28718713"
"Pistes cyclables";"RUE DE CRIMEE";"19";"7.38589974"
"Couloirs de bus ouverts aux vélos";"BOULEVARD GOUVION SAINT CYR";"17";"135.02545138"
"Bandes cyclables";"RUE RICHER";"9";"13.17965811"
"Couloirs de bus ouverts aux vélos";"RUE PERRAULT";"1";"55.58874739"
"Pistes cyclables";"BOULEVARD DES BATIGNOLLES";"17";"11.2981337"
"Couloirs de bus ouverts aux vélos";"BOULEVARD DES BATIGNOLLES";"17";"46.30452291"
"Pistes cyclables";"BOULEVARD DE ROCHECHOUART";"18";"22.96958203"
"Couloirs de bus ouverts aux vélos";"RUE TRONCHET";"8";"18.19987636"
"Couloirs de bus ouverts aux vélos";"RUE LAFAYETTE";"10";"32.60857762"
"Pistes cyclables";"BOULEVARD DE MAGENTA";"10";"19.46794555"
"Bandes cyclables";"BOULEVARD DE LA VILLETTE";"10";"14.01368839"
"Pistes cyclables";"BOULEVARD DE MAGENTA";"10";"10.49997203"
"Couloirs de bus ouverts aux vélos";"BOULEVARD DE BONNE NOUVELLE";"10";"63.14170472"
"Couloirs de bus ouverts aux vélos";"BOULEVARD DE SEBASTOPOL";"3";"18.35431536"
"Pistes cyclables";"BOULEVARD GARIBALDI";"15";"23.67968141"
"Pistes cyclables";"BOULEVARD GARIBALDI";"15";"19.55273728"
"Pistes cyclables";"BOULEVARD GARIBALDI";"15";"17.13534215"
"Bandes cyclables";"BOULEVARD GARIBALDI";"15";"3.82391926"
"Couloirs de bus ouverts aux vélos";"RUE BEAUBOURG";"3";"17.42845739"
"Pistes cyclables";"BOULEVARD DE LA BASTILLE";"12";"62.38766267"
"Pistes cyclables";"BOULEVARD PONIATOWSKI";"12";"11.92443144"
"Couloirs de bus ouverts aux vélos";"AVENUE DAUMESNIL";"12";"87.46379884"
"Bandes cyclables";"RUE PEAN";"13";"57.28420868"
"Bandes cyclables";"RUE MOUFFETARD";"5";"32.27273017"
"Pistes cyclables";"AVENUE DE LA PORTE DE VITRY";"13";"12.16754156"
"Pistes cyclables";"BOULEVARD DE GRENELLE";"15";"45.37621265"
"Bandes cyclables";"BOULEVARD DE GRENELLE";"15";"11.74015635"
"Pistes cyclables";"Place Léon Blum";"11";"17.61397889"
"Couloirs de bus ouverts aux vélos";"RUE DE MAUBEUGE";"10";"92.14416475"
"Couloirs de bus ouverts aux vélos";"PLACE DE CLICHY";"9";"59.1154338"
"Bandes cyclables";"Place Pierre Mac Orlan";"18";"28.36754599"
"Pistes cyclables";"Rue Saint-Antoine";"4";"65.41790603"
"Pistes cyclables";"Quai d'Orsay";"7";"622.17478865"
"Bandes cyclables";"Boulevard Arago";"13";"7.73157272"
"Pistes cyclables";"Boulevard Arago";"13";"57.75749298"
"Pistes cyclables";"BOULEVARD DU GENERAL JEAN SIMON";"13";"31.09019228"
"Bandes cyclables";"RUE DE RENNES";"6";"43.85039164"
"Couloirs de bus ouverts aux vélos";"BOULEVARD PERSHING";"17";"7.57761878"
"Pistes cyclables";"BOULEVARD LEFEBVRE";"15";"258.53384046"
"Pistes cyclables";"PLACE DE LA PORTE DE VERSAILLES";"15";"65.86129125"
"Bandes cyclables";"PONT DES INVALIDES";"7";"75.58894018"
"Pistes cyclables";"AVENUE DE LA GRANDE ARMEE";"16";"2.54930689"
"Bandes cyclables";"PLACE DE VARSOVIE";"16";"27.45004601"
"Couloirs de bus ouverts aux vélos";"RUE DE LYON";"12";"22.48550449"
"Pistes cyclables";"Avenue des Champs-Elysées";"8";"25.68213518"
"Pistes cyclables";"Avenue des Champs-Elysées";"8";"11.29074065"
"Bandes cyclables";"BOULEVARD DE COURCELLES";"17";"48.03503085"
"Bandes cyclables";"Avenue de la Porte Molitor";"16";"169.44826339"
"Pistes cyclables";"Rue Saint-Antoine";"4";"12.75333952"
"Couloirs de bus ouverts aux vélos";"Rue Pelleport";"20";"348.50007831"
"Couloirs de bus ouverts aux vélos";"Pont Neuf";"1";"91.04296625"
"Pistes cyclables";"Place de l'Alma";"16";"10.29201918"
"Couloirs de bus ouverts aux vélos";"Rue de Tolbiac";"13";"18.85960592"
"Pistes cyclables";"Rue de Tilsitt";"17";"31.1656785"
"Pistes cyclables";"BOULEVARD SAINT JACQUES";"14";"20.68130685"
"Bandes cyclables";"AVENUE DES CHAMPS ELYSEES";"8";"23.14678723"
"Bandes cyclables";"RUE BELGRAND";"20";"32.31856785"
"Pistes cyclables";"RUE MARYSE HILSZ";"20";"31.96562401"
"Couloirs de bus ouverts aux vélos";"BOULEVARD RASPAIL";"6";"45.70249258"
"Couloirs de bus ouverts aux vélos";"RUE LAGRANGE";"5";"8.21747079"
"Pistes cyclables";"Avenue de Flandre";"19";"2.85136398"
"Pistes cyclables";"Boulevard Voltaire";"11";"682.34259626"
"Bandes cyclables";"Rue Saint-Honoré";"1";"261.9878655"
"Bandes cyclables";"BOULEVARD DE CHARONNE";"11";"14.51207796"
"Bandes cyclables";"Boulevard Berthier";"17";"65.47770802"
"Pistes cyclables";"Rue des Plantes";"14";"4.12829956"
"Pistes cyclables";"Avenue des Champs-Elysées";"8";"25.71947385"
"Pistes cyclables";"Avenue des Champs-Elysées";"8";"25.71710485"
"Pistes cyclables";"Avenue des Champs-Elysées";"8";"7.32815291"
"Pistes cyclables";"Rue de Rivoli";"4";"25.94592156"
"Pistes cyclables";"Rue de Rivoli";"4";"11.40656506"
"Pistes cyclables";"Boulevard de Sébastopol";"1";"417.58514585"
"Bandes cyclables";"Boulevard Arago";"13";"14.13504079"
"Bandes cyclables";"Voie Cg/17";"17";"133.6042328"
"Couloirs de bus ouverts aux vélos";"BOULEVARD DE STRASBOURG";"10";"159.23609982"
"Bandes cyclables";"BOULEVARD MALESHERBES";"8";"43.98587074"
"Pistes cyclables";"BOULEVARD AUGUSTE BLANQUI";"13";"23.4050514"
"Bandes cyclables";"Place Louis Armstrong";"13";"42.38677202"
"Bandes cyclables";"Boulevard Voltaire";"11";"13.93550075"
"Pistes cyclables";"Rue de Turbigo";"1";"5.81187131"
