"voie";"arrdt";"cycling_length"
"RUE DE LAGNY";"20";"8.96179301"
"RUE SIGMUND FREUD";"19";"4.9133462"
"AVENUE JEAN JAURES";"19";"8.68422063"
"BOULEVARD MALESHERBES";"17";"48.30344104"
"BOULEVARD MALESHERBES";"17";"92.45865754"
"RUE LE VAU";"20";"8.42255692"
"BOULEVARD DAVOUT";"20";"242.71503896"
"PLACE DE LA PORTE DE PANTIN";"19";"112.00702909"
"RUE DE LA MARSEILLAISE";"19";"64.18360789"
"PLACE DE WAGRAM";"17";"14.34773756"
"PLACE DE WAGRAM";"17";"19.03908917"
"BOULEVARD DAVOUT";"20";"203.16812828"
"BOULEVARD GOUVION SAINT CYR";"17";"10.42831652"
"BOULEVARD DAVOUT";"20";"17.10933048"
"RUE NAVIER";"17";"100.19998597"
"RUE EDOUARD PAILLERON";"19";"157.81536175"
"AVENUE DE LAUMIERE";"19";"15.08375637"
"AVENUE DE LAUMIERE";"19";"65.66091141"
"RUE DE TANGER";"19";"85.38960096"
"BOULEVARD DIDEROT";"12";"6.8914329"
"Quai de la Tournelle";"5";"34.729755"
"Avenue de la Grande Armée";"16";"22.34164645"
"Boulevard Berthier";"17";"45.06188403"
"Rue Saint-Antoine";"4";"22.71709789"
"Rue du Château-Landon";"10";"196.91977553"
"Boulevard Arago";"13";"19.42803792"
"RUE DES ECLUSES SAINT-MARTIN";"10";"19.75637154"
"AVENUE DAUMESNIL";"12";"105.861032"
"AVENUE DAUMESNIL";"12";"51.54833822"
"AVENUE DE LA PORTE DE VITRY";"13";"9.32286705"
"BOULEVARD DE MAGENTA";"10";"7.30258271"
"BOULEVARD DE LA CHAPELLE";"10";"36.432045"
"Avenue des Champs-Elysées";"8";"25.72322122"
"RUE CHAMPIONNET";"18";"117.83625507"
"Rue Froidevaux";"14";"57.32631928"
"Place Valhubert";"5";"29.27980993"
"Quai de la Gare";"13";"124.07559524"
"Avenue des Champs-Elysées";"8";"6.28496393"
"Boulevard Morland";"4";"6.65338194"
"Rue de Tolbiac";"13";"46.40541076"
"Place Victor et Hélène Basch";"14";"133.14675276"
"BOULEVARD KELLERMANN";"13";"3.20361458"
"Rue de Presbourg";"16";"36.46872966"
"Avenue de la Porte d'Ivry";"13";"41.11108727"
"Rue de Tilsitt";"8";"40.09546676"
